Day,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Monday,119,295,137,319,416,459,321,285,152,252,348,147,208,168,208,123,147,133,162,97
Tuesday,166,336,186,381,482,368,285,301,174,256,350,170,327,283,207,155,126,190,153,77
Wednesday,298,334,252,354,425,559,257,298,170,220,298,202,290,222,241,116,147,139,148,92
Thursday,231,216,203,307,453,482,354,246,184,196,297,185,218,213,290,119,181,188,134,142
Friday,260,331,184,271,422,403,286,414,226,220,226,170,339,199,253,141,115,164,213,73
Saturday,83,87,88,95,105,139,131,76,49,61,36,67,60,24,31,34,40,43,4,16
Sunday,69,153,92,100,124,140,139,108,40,66,99,50,40,50,31,11,35,17,15,8
