Day,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Monday,7,12,14,22,3,92,104,100,205,117,86,83,205,130,95,145,107,80,87,62
Tuesday,8,10,10,13,6,110,95,95,219,104,88,81,173,103,90,125,103,110,79,70
Wednesday,7,6,14,12,4,88,78,92,256,78,109,68,94,125,80,106,74,69,68,47
Thursday,2,12,7,14,6,64,66,97,193,91,100,81,117,83,53,101,90,69,85,55
Friday,6,6,7,9,6,90,46,83,198,92,95,64,109,67,63,139,67,49,76,59
Saturday,6,6,21,15,8,66,48,97,100,103,42,105,205,104,49,79,94,45,36,26
Sunday,7,9,15,11,6,57,80,70,109,93,47,35,165,155,59,145,77,42,62,17
