Day,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Monday,28,66,36,76,59,104,264,160,194,192,327,346,275,191,197,105,55,128,57,92
Tuesday,74,68,60,65,93,119,238,153,157,234,333,322,342,229,197,116,84,151,83,103
Wednesday,60,70,50,70,97,136,248,180,242,212,295,342,271,290,157,111,89,136,77,108
Thursday,26,68,73,80,113,124,193,198,205,157,291,349,277,310,211,137,69,137,65,132
Friday,70,44,70,62,110,109,149,230,184,202,332,325,285,308,259,112,101,160,41,86
Saturday,14,3,20,4,13,26,9,43,32,33,75,46,70,67,77,21,44,62,8,40
Sunday,7,10,3,5,13,61,12,53,38,66,99,27,52,55,27,8,17,64,5,40
