Day,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Monday,3,12,22,71,85,125,91,140,101,161,179,281,289,380,355,357,319,185,160,173
Tuesday,13,31,33,78,104,103,171,139,119,209,185,333,415,434,406,322,419,285,200,186
Wednesday,13,32,38,103,112,125,194,166,123,204,231,337,419,430,467,372,329,219,226,186
Thursday,9,22,39,61,106,116,161,145,172,192,191,300,390,381,393,338,335,260,206,226
Friday,10,18,36,93,108,66,141,141,124,248,188,330,378,467,420,327,378,213,186,176
Saturday,6,4,20,42,37,49,26,61,46,83,65,124,140,98,78,66,136,67,83,38
Sunday,0,2,16,13,20,27,87,47,30,44,37,88,97,74,79,77,139,84,58,52
