Day,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Monday,88,110,98,54,63,60,87,174,80,88,135,337,609,402,325,239,0,0,0,0
Tuesday,60,154,66,57,83,60,78,134,68,94,174,404,660,472,353,267,0,0,0,0
Wednesday,49,92,91,40,92,118,75,185,88,90,138,329,726,477,352,285,0,0,0,0
Thursday,107,94,92,57,47,51,89,156,87,71,139,334,662,459,407,281,0,0,0,0
Friday,40,52,67,60,64,45,48,144,61,67,129,322,622,411,287,240,0,0,0,0
Saturday,29,74,43,28,45,41,41,89,58,49,93,163,400,177,112,101,0,0,0,0
Sunday,67,90,61,44,53,74,51,112,67,73,127,218,289,143,166,128,0,0,0,0
