Day,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Monday,0,0,0,0,23,31,56,36,20,73,61,0,253,209,212,229,211,280,355,285
Tuesday,0,0,0,9,21,21,60,26,31,82,144,70,223,220,207,236,259,287,403,313
Wednesday,0,0,0,6,19,28,55,35,33,58,32,0,224,223,217,224,331,267,371,316
Thursday,0,0,0,3,37,34,63,40,17,73,104,47,272,235,243,203,237,262,369,279
Friday,0,0,0,8,35,24,45,21,18,67,99,48,187,197,139,173,175,216,346,275
Saturday,0,0,0,0,0,5,0,0,0,12,5,0,58,17,6,26,18,37,40,41
Sunday,0,0,0,0,0,0,0,0,0,0,0,0,47,7,5,19,38,36,34,27
