Day,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Monday,15.951219512195122,16.48626144879267,23.4375,17.464788732394364,17.397769516728626,16.262705238467554,16.57963446475196,18.939393939393938,18.89763779527559,22.15568862275449,22.290388548057262,27.956989247311824,25.08474576271186,25.259515570934255,17.127659574468083,15.328467153284672,27.895595432300162,28.10810810810811,36.996336996337,20.47531992687386
Tuesday,18.682926829268293,18.651124063280598,17.516447368421055,16.619718309859156,14.721189591078069,15.94996090695856,24.673629242819846,17.045454545454543,18.11023622047244,18.962075848303392,18.200408997955012,18.27956989247312,17.457627118644066,23.875432525951556,12.659574468085106,13.381995133819952,10.766721044045676,10.09009009009009,9.706959706959708,12.79707495429616
Wednesday,19.5609756097561,16.98584512905912,15.789473684210526,19.577464788732392,17.62081784386617,17.51368256450352,21.671018276762403,19.507575757575758,10.826771653543307,16.367265469061877,18.609406952965234,12.473118279569892,20.508474576271183,12.45674740484429,21.170212765957448,15.571776155717762,16.31321370309951,15.855855855855856,16.483516483516482,17.001828153564897
Thursday,17.51219512195122,14.40466278101582,14.802631578947366,17.323943661971832,22.82527881040892,24.08131352619234,18.407310704960835,18.75,14.960629921259844,17.16566866267465,15.132924335378323,11.827956989247312,14.915254237288137,18.685121107266436,10.425531914893616,16.54501216545012,14.518760195758565,16.396396396396394,15.567765567765568,17.915904936014627
Friday,14.829268292682926,16.23646960865945,17.434210526315788,17.464788732394364,19.256505576208177,22.048475371383894,15.143603133159269,18.939393939393938,14.173228346456693,15.568862275449103,17.791411042944784,13.548387096774196,16.101694915254235,12.975778546712801,17.659574468085108,13.746958637469586,11.256117455138662,21.26126126126126,16.666666666666664,20.47531992687386
Saturday,7.463414634146341,8.32639467110741,5.592105263157895,6.478873239436619,4.758364312267658,3.2838154808444098,2.088772845953003,4.166666666666666,18.503937007874015,4.191616766467066,2.4539877300613497,7.096774193548387,1.864406779661017,2.0761245674740483,6.914893617021277,7.542579075425791,16.31321370309951,3.423423423423423,0.7326007326007326,4.753199268738574
Sunday,6.0,8.90924229808493,5.427631578947369,5.070422535211268,3.420074349442379,0.8600469116497262,1.4360313315926894,2.6515151515151514,4.52755905511811,5.588822355289421,5.521472392638037,8.817204301075268,4.067796610169491,4.671280276816609,14.042553191489363,17.88321167883212,2.936378466557912,4.864864864864865,3.8461538461538463,6.581352833638025
