Day,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Monday,23.24766355140187,19.829164124466136,22.533748701973,17.180365296803654,21.148036253776432,16.604995374653097,14.506498068141905,14.564977973568283,15.765391014975041,14.858171994597027,15.962805114296785,18.23579304495335,16.63048198002605,16.298342541436465,17.101449275362317,16.569037656903767,11.567877629063098,15.67357512953368,13.654050229925716,20.471281296023562
Tuesday,23.948598130841123,13.605857230018303,18.69158878504673,15.41095890410959,17.573011077542798,18.22386679000925,26.132771338250787,21.696035242290748,24.25124792013311,18.5051778478163,19.914761720263463,19.423240033927055,19.800260529743813,18.784530386740332,22.753623188405797,18.075313807531384,19.120458891013385,16.580310880829018,22.32048107534489,13.843888070692195
Wednesday,15.070093457943926,14.887126296522268,9.968847352024921,10.844748858447488,18.982880161127895,22.432932469935245,19.2483315770987,23.733480176211454,17.762063227953412,19.04547501125619,22.200697404106936,18.999151823579304,20.147633521493706,21.086556169429098,18.55072463768116,17.154811715481173,16.379859783301466,17.530224525043177,18.004952246197384,19.95581737849779
Thursday,16.822429906542055,10.250152532031727,11.526479750778815,13.584474885844749,11.127895266868077,18.270120259019425,17.105725324903407,19.768722466960355,18.926788685524127,18.730301665916254,18.32623014335529,15.394402035623408,18.758141554494138,20.073664825046038,18.55072463768116,15.899581589958158,20.363288718929255,15.414507772020725,17.828086310576584,16.200294550810014
Friday,14.13551401869159,14.826113483831605,14.330218068535824,16.95205479452055,13.041289023162134,14.893617021276595,14.295749912188269,12.80286343612335,13.311148086522461,18.190004502476363,16.079039132119334,18.3206106870229,13.28701693443335,14.64088397790055,13.333333333333334,15.14644351464435,17.463352453792226,19.775474956822105,16.200919702865228,16.42120765832106
Saturday,2.6869158878504673,10.006101281269068,5.088265835929388,14.6689497716895,8.91238670694864,3.145235892691952,4.14471373375483,3.3314977973568283,5.116472545757071,5.222872579918955,3.874467260751647,4.495335029686174,5.688232739904472,4.511970534069982,5.579710144927536,10.418410041841005,8.667941363926067,9.024179620034541,6.084188185355501,5.3019145802650955
Sunday,4.0887850467289715,16.59548505186089,17.86085150571132,11.358447488584474,9.214501510574017,6.429232192414432,4.5662100456621,4.102422907488987,4.8668885191347755,5.44799639801891,3.641999225106548,5.1314673452078035,5.688232739904472,4.6040515653775325,4.130434782608695,6.7364016736401675,6.437221159974506,6.001727115716753,5.907322249734701,7.80559646539028
