Day,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Monday,0,0,33.33333333333333,36.36363636363637,0.0,20.238095238095237,17.194323144104803,22.129277566539923,18.934271030565323,16.355567158334424,17.4884831939942,16.932685634975712,18.121603260869566,18.491484184914842,18.49142857142857,15.261044176706829,19.480519480519483,0,0,0
Tuesday,0,0,33.33333333333333,9.090909090909092,66.66666666666666,15.178571428571427,23.580786026200872,19.23954372623574,23.830132539897214,27.450724448505415,25.422282886879373,26.069858894286373,25.832201086956523,25.790754257907544,22.377142857142857,20.009449562957712,20.77922077922078,0,0,0
Wednesday,0,0,16.666666666666664,0.0,16.666666666666664,17.261904761904763,16.102620087336245,17.528517110266158,18.4338652961861,20.532567549928206,20.849684354205767,21.327781633125145,21.552309782608695,19.22141119221411,19.954285714285714,23.10418143160879,22.943722943722943,0,0,0
Thursday,0,0,0.0,0.0,8.333333333333332,18.452380952380953,15.72052401746725,14.4106463878327,14.308899107384365,14.658660749249444,17.983279303873058,17.4647235715938,16.93274456521739,18.59286293592863,18.377142857142857,20.103945192534844,23.809523809523807,0,0,0
Friday,0,0,0.0,27.27272727272727,0.0,17.857142857142858,16.157205240174672,12.69961977186312,13.727346497159859,13.64051690379846,13.478928510493091,13.139023826046728,13.332201086956522,14.578264395782645,15.817142857142857,16.253248287266715,7.35930735930736,0,0,0
Saturday,0,0,0.0,0.0,0.0,6.547619047619048,4.6943231441048034,7.357414448669202,6.207736002163917,4.307531653831092,3.0540863333902064,3.09969928290539,2.9721467391304346,2.0884022708840226,2.88,3.401842664776754,3.463203463203463,0,0,0
Sunday,0,0,16.666666666666664,27.27272727272727,8.333333333333332,4.464285714285714,6.550218340611353,6.634980988593156,4.557749526643224,3.054431536352957,1.7232554171643064,1.9662271570668517,1.2567934782608696,1.2368207623682075,2.1028571428571428,1.8662886841483581,2.1645021645021645,0,0,0
