Day,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Monday,0,0,0,0,0,0,1,74,204,166,231,240,191,169,143,242,184,113,62,99
Tuesday,0,0,0,0,0,0,0,85,209,187,266,226,213,144,201,288,227,60,106,118
Wednesday,0,0,0,0,0,0,2,67,195,215,280,220,220,191,189,260,145,90,95,158
Thursday,0,0,0,0,0,0,0,86,200,196,293,199,231,163,216,250,203,107,93,107
Friday,0,0,0,0,0,0,1,69,169,155,272,213,174,141,206,255,177,106,93,128
Saturday,0,0,0,0,0,0,0,3,17,17,40,46,48,29,48,100,63,49,35,35
Sunday,0,0,0,0,0,0,0,6,39,16,46,80,65,50,55,112,85,26,26,30
