Day,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Monday,0,0,0,0,0,0,0,0,0,20.0,16.51031894934334,16.48590021691974,16.95786228160329,16.2534435261708,10.596026490066226,7.297297297297297,17.339667458432302,15.046296296296296,13.372093023255813,13.972055888223553
Tuesday,0,0,0,0,0,0,0,0,0,16.140350877192983,12.382739212007504,16.052060737527114,14.285714285714285,18.319559228650135,14.90066225165563,5.405405405405405,13.064133016627078,13.425925925925927,14.534883720930234,12.574850299401197
Wednesday,0,0,0,0,0,0,0,0,0,8.421052631578947,15.0093808630394,14.533622559652928,15.724563206577596,13.498622589531681,10.927152317880795,7.297297297297297,10.21377672209026,10.648148148148149,7.55813953488372,12.574850299401197
Thursday,0,0,0,0,0,0,0,0,0,14.035087719298245,9.00562851782364,8.893709327548807,11.71634121274409,10.606060606060606,9.933774834437086,13.513513513513514,10.926365795724466,6.25,5.813953488372093,11.377245508982035
Friday,0,0,0,0,0,0,0,0,0,11.578947368421053,15.196998123827393,9.544468546637743,14.182939362795477,13.223140495867769,13.245033112582782,14.864864864864865,12.351543942992874,13.425925925925927,14.534883720930234,18.962075848303392
Saturday,0,0,0,0,0,0,0,0,0,16.842105263157894,17.4484052532833,14.967462039045554,13.257965056526208,12.396694214876034,22.516556291390728,19.45945945945946,19.239904988123516,18.51851851851852,23.25581395348837,14.770459081836327
Sunday,0,0,0,0,0,0,0,0,0,12.982456140350877,14.446529080675422,19.522776572668114,13.874614594039056,15.702479338842975,17.880794701986755,32.16216216216216,16.864608076009503,22.685185185185187,20.930232558139537,15.768463073852296
