Day,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Monday,15.532544378698224,15.110178384050368,12.52541683611224,16.277995843915953,14.59807073954984,11.788475052705552,15.780961182994455,14.864083285135917,10.766847405112316,12.075029308323563,13.104715248009798,13.760262725779967,13.961182179091312,14.055590650663296,13.196480938416421,13.315926892950392,0,0,0,0
Tuesday,14.792899408284024,17.628541448058762,13.501423342822285,12.676056338028168,12.7491961414791,13.738580463808855,13.932532347504619,11.451706188548293,12.703330751355537,10.785463071512309,12.880179628495611,13.85878489326765,12.792236435818264,14.466203411244472,11.99087650700554,14.360313315926893,0,0,0,0
Wednesday,17.159763313609467,10.073452256033578,16.02277348515657,14.107596398060492,12.668810289389068,11.050597329585383,10.097042513863217,10.844418739155582,11.15414407436096,13.833528722157093,12.961828944682589,14.909688013136288,15.284516982796648,15.034744156664562,10.98077549690453,12.010443864229766,0,0,0,0
Thursday,13.609467455621301,10.388247639034628,13.37942252948353,13.438005079658277,12.990353697749196,10.73436401967674,11.090573012939002,11.19144013880856,9.101471727343146,10.844079718640094,13.227189222290264,15.336617405582922,13.431848257609175,14.024005053695515,12.675138481590094,12.859007832898172,0,0,0,0
Friday,15.088757396449704,12.48688352570829,12.850752338348922,17.293927499422765,14.05144694533762,13.721011946591707,12.546210720887247,13.649508386350492,13.206816421378775,13.423212192262602,13.16595223515003,14.12151067323481,13.05690339655933,14.308275426405558,13.880742913000976,15.274151436031334,0,0,0,0
Saturday,12.8698224852071,16.474291710388247,15.290768605124033,14.453936735165088,15.321543408360128,15.776528460997891,16.98243992606285,17.466743782533257,23.35398915569326,19.402110199296597,17.77913859971423,14.351395730706077,16.872518747243053,13.17119393556538,18.442489410231346,15.143603133159269,0,0,0,0
Sunday,10.946745562130179,17.83840503672613,16.42944286295242,11.75248210574925,17.620578778135048,23.190442726633872,19.570240295748615,20.5320994794679,19.713400464756003,19.636576787807737,16.880996121657482,13.661740558292282,14.600794000882223,14.939987365761212,18.83349625285109,17.036553524804177,0,0,0,0
