Day,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Monday,0,0,0,0,0,0,0,0,0,45,218,170,157,228,151,225,293,251,224,201
Tuesday,0,0,0,0,0,0,0,0,0,73,225,193,168,246,162,236,335,234,251,223
Wednesday,0,0,0,0,0,0,0,0,0,65,264,207,215,238,160,204,284,230,210,199
Thursday,0,0,0,0,0,0,0,0,0,69,238,179,198,245,169,200,249,230,195,209
Friday,0,0,0,0,0,0,0,0,0,73,263,211,167,226,169,188,254,168,197,196
Saturday,0,0,0,0,0,0,0,0,0,27,83,99,57,38,20,39,56,44,31,51
Sunday,0,0,0,0,0,0,0,0,0,25,116,72,64,78,30,64,56,58,67,53
