Day,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Monday,0,0,0,0,0,6,0,123,121,132,85,93,184,120,133,166,158,184,198,101
Tuesday,0,0,0,0,0,6,5,134,125,141,75,110,136,146,175,180,141,157,221,112
Wednesday,0,0,0,0,0,16,0,129,130,143,69,69,168,160,185,203,167,160,181,132
Thursday,0,0,0,0,0,19,4,121,133,144,85,111,151,139,153,203,182,162,208,103
Friday,0,0,0,0,0,7,0,146,156,128,71,100,147,124,132,152,133,144,125,86
Saturday,0,0,0,0,0,0,0,44,50,49,25,17,36,48,63,35,46,45,41,27
Sunday,0,0,0,0,0,0,0,26,31,25,13,15,24,25,49,37,13,27,18,7
