Day,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Monday,0,0,0,0,0,0,0.0,0,15.93564029094115,14.691425450573457,15.066336856307624,16.00184459303666,15.159107992984215,16.6028848984398,16.439909297052154,15.342191025319629,16.07669616519174,14.893617021276595,16.30094043887147,16.79635095250872
Tuesday,0,0,0,0,0,0,0.0,0,16.156050253471456,15.101037684325505,15.98830672363391,16.693566981784645,17.564520170383364,17.132764203709154,17.772108843537417,16.47029330659313,15.575221238938052,17.641843971631204,17.412368196067256,17.09149449959753
Wednesday,0,0,0,0,0,0,0.0,0,16.6189111747851,15.264882577826326,17.989655947829995,17.70809315194835,18.74216988223503,17.69208124816014,17.488662131519277,17.698671346202055,18.289085545722713,18.94208037825059,18.067825591336565,17.198819425811646
Thursday,0,0,0,0,0,0,0.0,0,16.310337227242673,17.20371381758602,16.07825500337306,16.647452155868113,17.639689300927085,18.104209596702972,16.75170068027211,16.796189521183255,17.404129793510325,17.16903073286052,17.0703904246224,18.83552455057687
Friday,0,0,0,0,0,0,0.0,0,15.781353317169936,17.039868924085198,15.583539464807735,13.972792252709246,14.18190929591581,16.808949072711215,15.419501133786847,16.244672850338432,17.020648967551622,16.016548463356976,18.039327443716157,17.92326267775691
Saturday,0,0,0,0,0,0,0.0,0,10.866211152744103,11.168760240305845,10.434000449741399,10.491122896011069,8.51916812828865,7.5360612304974985,8.815192743764172,8.573577337678616,9.056047197640119,8.865248226950355,7.01054431461955,6.707807888382076
Sunday,0,0,0,0,0,0,100.0,0,8.331496583645581,9.530311305297651,8.859905554306275,8.485127968641919,8.193435229265848,6.123049749779217,7.312925170068027,8.874404612684883,6.578171091445428,6.471631205673758,6.0986035907666,5.446740005366246
