Day,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Monday,0,0,0,0,13,368,985,784,572,533,828,690,624,429,432,499,1037,639,315,590
Tuesday,0,0,0,0,10,285,937,822,495,473,854,632,685,500,420,592,1061,527,368,579
Wednesday,0,0,0,0,11,406,1024,721,513,529,634,584,568,594,405,552,1186,473,367,555
Thursday,0,0,0,0,30,282,708,681,470,419,761,548,549,469,335,497,1073,543,320,469
Friday,0,0,0,0,6,349,823,627,426,448,761,566,589,617,321,626,1132,622,404,577
Saturday,0,0,0,0,4,218,578,547,313,343,579,552,563,424,359,571,979,507,303,614
Sunday,0,0,0,0,2,204,455,541,308,282,463,464,540,483,455,607,970,442,237,509
