Day,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Monday,8.791208791208792,22.115384615384613,16.352201257861633,15.022091310751104,15.18624641833811,16.666666666666664,15.697036223929747,17.409326424870468,18.687756297598128,14.9185667752443,17.894736842105264,17.954070981210858,16.61341853035144,19.689119170984455,15.307262569832403,15.931372549019606,14.315352697095435,11.748633879781421,15.965346534653465,15.618448637316561
Tuesday,21.978021978021978,12.5,11.320754716981133,13.991163475699558,17.478510028653297,10.173160173160174,16.794731064763997,14.559585492227981,19.68365553602812,22.996742671009773,18.045112781954884,20.041753653444676,20.447284345047922,19.170984455958546,20.446927374301676,18.75,17.42738589211618,20.21857923497268,16.212871287128714,17.08595387840671
Wednesday,14.285714285714285,15.384615384615385,17.61006289308176,11.929307805596466,10.888252148997136,15.367965367965366,17.56311745334797,15.751295336787566,18.101933216168717,14.723127035830618,18.045112781954884,17.954070981210858,14.696485623003195,17.78929188255613,18.994413407821227,21.20098039215686,12.863070539419086,16.120218579234972,18.06930693069307,17.19077568134172
Thursday,15.384615384615385,9.615384615384617,11.320754716981133,9.867452135493373,14.326647564469914,16.450216450216452,17.45334796926454,17.04663212435233,17.223198594024606,14.9185667752443,14.887218045112782,14.613778705636744,16.93290734824281,11.917098445595855,14.413407821229049,20.833333333333336,17.219917012448132,20.491803278688526,18.44059405940594,17.61006289308176
Friday,8.791208791208792,13.461538461538462,14.465408805031446,14.727540500736378,10.315186246418339,13.852813852813853,12.184412733260155,18.65284974093264,11.775043936731107,16.547231270358306,13.383458646616543,13.361169102296449,16.45367412140575,15.3713298791019,18.212290502793298,15.196078431372548,24.273858921161825,16.666666666666664,15.965346534653465,12.368972746331238
Saturday,17.582417582417584,11.538461538461538,14.465408805031446,13.107511045655377,16.045845272206304,16.233766233766232,11.086717892425906,8.186528497409325,8.37727006444054,6.7752442996742674,9.924812030075188,8.350730688935283,7.348242811501597,7.081174438687392,4.357541899441341,4.779411764705882,8.71369294605809,6.557377049180328,11.262376237623762,9.224318658280922
Sunday,13.186813186813188,15.384615384615385,14.465408805031446,21.354933726067745,15.759312320916905,11.255411255411255,9.220636663007683,8.393782383419689,6.151142355008787,9.120521172638437,7.819548872180452,7.724425887265135,7.507987220447284,8.981001727115718,8.268156424581004,3.308823529411765,5.186721991701245,8.19672131147541,4.084158415841585,10.90146750524109
