Day,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Monday,11.585070285991275,15.824594852240228,16.138007790762384,16.05,18.305084745762713,18.167150693772186,15.946610467158411,15.586099585062241,16.497023237948916,15.810451727192207,16.599346028082323,15.176151761517614,14.37937062937063,13.917396745932415,14.965169349027144,15.263157894736842,15.937374548374148,13.100436681222707,0,0
Tuesday,16.965584100824042,14.72831267874166,20.311630495269895,16.55,16.94915254237288,19.393352694417555,16.894977168949772,17.219917012448132,14.173228346456693,15.234720992028345,16.522408155414503,15.676464456952264,16.411713286713287,15.719649561952439,16.790775882776842,15.298245614035089,14.492171818546767,17.612809315866084,0,0
Wednesday,17.159476490547746,15.300285986653956,16.805787423483583,17.150000000000002,14.83050847457627,16.198773797999355,16.754478398314017,18.205394190871367,16.42020357211446,13.817537643932685,16.25312560107713,14.529914529914532,16.368006993006993,15.219023779724655,16.33437424933942,16.24561403508772,16.178241670012046,19.359534206695777,0,0
Thursday,12.845370819195345,16.015252621544327,16.86143572621035,15.6,14.576271186440678,14.649887060342046,16.297857393747805,17.012448132780083,15.325523333973498,14.511366991437852,14.09886516637815,16.71878257244111,14.86013986013986,13.717146433041302,15.781888061494115,16.035087719298247,15.375351264552389,11.208151382823871,0,0
Friday,16.52932622394571,12.774070543374643,11.853088480801336,14.149999999999999,14.110169491525424,14.26266537592772,14.787495609413417,13.589211618257261,14.691761090839256,14.954236787717745,14.791306020388536,13.800291849072337,15.144230769230768,14.217772215269086,15.877972615901994,13.614035087719298,13.04696908871939,12.081513828238718,0,0
Saturday,12.360639844886089,12.059103908484271,8.291597106288258,9.9,11.440677966101696,5.550177476605357,7.727432384966631,7.053941908713693,10.677933550989053,12.164157071154413,9.328717060973265,10.965186574942672,9.375,9.486858573216521,9.440307470574105,10.070175438596491,10.83902047370534,11.353711790393014,0,0
Sunday,12.554532234609791,13.298379408960914,9.738452977184195,10.6,9.788135593220339,11.777992900935786,11.591148577449948,11.33298755186722,12.214326867678125,13.507528786536756,12.406231967686093,13.133208255159476,13.461538461538462,17.72215269086358,10.809512370886381,13.473684210526315,14.130871136089922,15.283842794759824,0,0
