Day,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Monday,0,0,0,0,158,256,192,261,256,360,158,198,280,197,288,237,210,195,157,108
Tuesday,0,0,0,0,202,291,223,301,288,394,211,227,324,222,248,274,220,203,163,147
Wednesday,0,0,0,0,216,310,295,321,264,400,135,232,336,294,319,258,198,270,169,150
Thursday,0,0,0,0,197,292,268,352,320,412,203,248,387,288,347,238,233,205,185,135
Friday,0,0,0,0,177,221,210,242,284,272,204,254,329,243,292,263,232,189,163,170
Saturday,0,0,0,0,29,110,94,306,151,274,169,194,149,120,150,167,126,132,156,126
Sunday,0,0,0,0,48,123,106,226,170,258,184,177,174,143,175,126,116,148,114,107
