Day,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Monday,15.754560530679933,16.269610691458457,15.789473684210526,19.273075083692014,14.841156946420103,15.88850174216028,14.884277733439744,14.405808177302253,14.06741573033708,12.155297532656023,14.726291441788744,14.372413793103448,9.343853820598007,13.500992720052945,14.506953223767383,14.727272727272728,16.7634533488192,11.64021164021164,0,0
Tuesday,13.930348258706468,13.771063335270192,10.750279955207166,12.91248206599713,11.19013750592698,16.376306620209057,13.766959297685554,12.03668322506687,12.808988764044942,9.506531204644412,12.233359033667437,12.110344827586207,13.2890365448505,9.16611515552614,10.145385587863464,12.654545454545454,13.124274099883856,22.22222222222222,0,0
Wednesday,14.925373134328357,13.306217315514235,12.989921612541993,14.395026303204208,14.129919393077287,14.355400696864113,13.92657621707901,13.909056171188382,13.348314606741575,11.103047895500726,12.336160370084812,11.448275862068966,12.375415282392026,11.184645929847784,8.97597977243995,9.381818181818181,10.762679055361982,16.402116402116402,0,0
Thursday,14.262023217247096,12.84137129575828,16.06942889137738,14.299378287900527,14.556661925082977,14.146341463414632,13.487629688747008,12.800917080626672,14.06741573033708,13.02612481857765,12.670264713441275,9.986206896551725,17.275747508305646,9.695565850430178,10.176991150442479,8.290909090909091,11.38211382113821,12.962962962962962,0,0
Friday,15.754560530679933,11.969785008715862,11.310190369540873,14.586322333811575,12.470365101944049,9.825783972125436,14.604948124501197,11.960259839510892,9.617977528089888,10.050798258345427,11.10254433307633,12.579310344827585,12.084717607973422,12.541363335539376,11.97850821744627,9.745454545454546,17.499032133178474,14.285714285714285,0,0
Saturday,14.096185737976782,13.248111563044743,13.325867861142218,12.625538020086083,16.216216216216218,15.958188153310104,15.881883479648842,17.6920137562094,17.93258426966292,22.02467343976778,17.579028527370856,19.641379310344828,16.611295681063122,18.43150231634679,18.236409608091027,22.545454545454547,16.995741385985287,9.788359788359788,0,0
Sunday,11.276948590381426,18.593840790238232,19.76483762597984,11.908177905308465,16.595542911332384,13.449477351916375,13.447725458898644,17.19526175009553,18.15730337078652,22.13352685050798,19.35235158057055,19.862068965517242,19.019933554817275,25.479814692256785,25.979772439949432,22.654545454545456,13.472706155632984,12.698412698412698,0,0
