Day,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Monday,0,0,0,0,0,0,25.0,18.974358974358974,19.748305905130685,17.436974789915965,16.176470588235293,19.607843137254903,16.72504378283713,19.052987598647125,13.516068052930057,16.05839416058394,16.974169741697416,20.508166969147005,12.156862745098039,14.666666666666666
Tuesday,0,0,0,0,0,0,0.0,21.794871794871796,20.232333010648595,19.642857142857142,18.627450980392158,18.4640522875817,18.65148861646235,16.234498308906424,18.99810964083176,19.110816191108164,20.940959409594097,10.88929219600726,20.784313725490197,17.48148148148148
Wednesday,0,0,0,0,0,0,50.0,17.17948717948718,18.87705711519845,22.584033613445378,19.607843137254903,17.973856209150327,19.264448336252187,21.53325817361894,17.86389413988658,17.252820172528203,13.376383763837637,16.33393829401089,18.627450980392158,23.40740740740741
Thursday,0,0,0,0,0,0,0.0,22.05128205128205,19.36108422071636,20.588235294117645,20.518207282913163,16.258169934640524,20.2276707530648,18.376550169109358,20.415879017013232,16.5892501658925,18.726937269372694,19.419237749546276,18.235294117647058,15.851851851851853
Friday,0,0,0,0,0,0,25.0,17.692307692307693,16.36011616650532,16.281512605042018,19.047619047619047,17.401960784313726,15.236427320490368,15.89627959413754,19.47069943289225,16.921035169210352,16.328413284132843,19.237749546279492,18.235294117647058,18.962962962962962
Saturday,0,0,0,0,0,0,0.0,0.7692307692307693,1.6456921587608906,1.7857142857142856,2.801120448179272,3.758169934640523,4.203152364273205,3.269447576099211,4.536862003780719,6.635700066357001,5.8118081180811805,8.892921960072595,6.862745098039216,5.185185185185185
Sunday,0,0,0,0,0,0,0.0,1.5384615384615385,3.77541142303969,1.680672268907563,3.221288515406162,6.535947712418301,5.691768826619965,5.636978579481398,5.198487712665406,7.43198407431984,7.841328413284134,4.71869328493648,5.098039215686274,4.444444444444445
