Day,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Monday,12.82051282051282,19.769021739130434,18.555900621118013,15.917782026768643,14.17004048582996,13.091759205143191,13.881877839475013,13.507377979568671,14.685314685314685,13.391984359726294,12.264150943396226,12.555237847673512,16.50309917355372,13.018096906012843,14.092140921409213,14.258464473056748,13.517441860465116,15.745501285347045,12.27768215720023,13.756177924217464
Tuesday,17.663817663817664,18.478260869565215,18.400621118012424,15.344168260038241,11.856564488143436,9.585037989479837,12.619888944977284,11.52099886492622,11.11111111111111,12.218963831867057,10.720411663807889,15.258643098518327,12.706611570247933,15.674255691768826,14.866434378629501,15.54601812112542,12.936046511627907,12.5,15.375788869764772,15.32125205930807
Wednesday,19.08831908831909,16.440217391304348,18.09006211180124,15.535372848948375,12.319259687680741,13.325540619520748,12.216052498738012,10.839954597048807,8.857808857808857,15.835777126099707,20.840480274442537,15.674551598648298,13.40392561983471,14.098073555166375,14.905149051490515,13.257033857892228,13.517441860465116,13.688946015424165,17.096959265633966,16.85886875343218
Thursday,20.322886989553655,16.779891304347828,16.53726708074534,15.726577437858507,11.856564488143436,13.909994155464641,11.307420494699647,10.61293984108967,11.499611499611499,9.579667644183774,12.60720411663808,14.24486612945152,13.352272727272727,14.039696438995913,13.704994192799072,16.690510252742012,15.164728682170542,15.359897172236503,14.974182444061961,19.055464030752333
Friday,18.61348528015195,17.05163043478261,14.363354037267081,13.957934990439771,12.839791787160207,13.15020455873758,11.206461383139828,10.32917139614075,9.324009324009324,11.925708699902248,12.521440823327614,15.206654536002079,16.890495867768596,13.718622300058378,15.640727835849788,15.116833571769195,13.71124031007752,16.420308483290487,12.736660929432015,15.101592531576058
Saturday,6.932573599240266,5.842391304347826,5.357142857142857,12.667304015296368,21.052631578947366,18.410286382232613,18.324078748107016,21.793416572077184,24.397824397824397,18.7683284457478,15.523156089193826,12.737197816480375,13.765495867768596,15.849387040280211,14.595431668602401,15.450643776824036,13.226744186046513,13.817480719794345,16.609294320137693,11.477210323997804
Sunday,4.5584045584045585,5.638586956521739,8.695652173913043,10.850860420650095,15.905147484094853,18.52717708942139,20.4442200908632,21.396140749148696,20.124320124320125,18.27956989247312,15.523156089193826,14.322848973225891,13.37809917355372,13.601868067717454,12.195121951219512,9.680495946590367,17.92635658914729,12.467866323907455,10.929432013769363,8.42943437671609
