Day,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Monday,15.00992626205332,15.321259555879141,16.381025248661054,16.593554162936435,16.248789411384916,15.289798059270915,15.268891578765349,16.361645549820118,16.646682653876898,9.076543209876544,15.840356965790777,16.22429906542056,17.40006718172657,14.942528735632186,16.01029601029601,17.4335524435553,17.173165137614678,17.318435754189945,19.59603118355776,15.996578272027373
Tuesday,19.498014747589338,18.615762650163813,18.87911247130834,17.054610564010744,17.669213386419884,19.949296267156218,19.6351374719004,17.566087908650086,18.28537170263789,31.279012345679014,19.98016856717898,18.57943925233645,16.996976822304333,18.13793103448276,18.352638352638355,17.63360960274364,18.405963302752294,18.205718041406506,20.3756201275691,17.493584260051325
Wednesday,16.477595008508224,20.590644339279212,20.524100994644222,19.834377797672335,20.047347465834502,20.34268729784072,21.372989797682866,20.444235882997027,17.64588329336531,35.12098765432099,19.657907783837384,18.2803738317757,17.836748404433994,18.39080459770115,17.142857142857142,19.176907687910834,17.803899082568808,18.37002957607624,18.781006378454997,20.059880239520957
Thursday,20.73170731707317,20.38587550054605,20.394032134659525,19.409131602506715,18.72377058000646,19.24993443482822,19.90316444751859,19.56827780384796,20.24380495603517,9.491358024691358,17.178978681209717,16.299065420560748,15.25025193147464,17.70114942528736,18.71299871299871,16.919119748499572,16.227064220183486,16.858363457114688,17.257264351523744,21.72797262617622
Friday,19.051332955190016,16.276847469967237,16.996939556235656,18.760071620411818,19.90745722586893,18.94396363318472,16.902991526889156,18.692319724698887,18.42525979216627,9.224691358024693,14.99752107089737,16.411214953271028,15.72052401746725,17.080459770114942,16.216216216216218,16.519005430122892,17.660550458715598,17.35129806112389,15.52090715804394,17.27972626176219
Saturday,4.991491775382871,5.515107389879869,4.13159908186687,5.313339301700984,3.938448294415151,3.925168283940904,3.5967490921666956,4.035664007508212,4.816147082334132,3.0024691358024693,6.569162121963313,6.205607476635514,8.36412495801142,7.310344827586207,7.232947232947233,6.287510717347813,6.9380733944954125,6.605323693723299,4.5357902197023385,4.234388366124893
Sunday,4.239931934203063,3.2945030942846745,2.6931905126243305,3.034914950760967,3.46497363607016,2.2991520237783023,3.3200760850769497,3.33176912247771,3.9368505195843326,2.8049382716049385,5.775904809122459,8.0,8.431306684581793,6.436781609195402,6.332046332046332,6.0302943698199485,5.791284403669724,5.290831416365429,3.933380581148122,3.20786997433704
