auth0/docs, company
project-hatohol/hatohol, volunteering
lctt/translateproject, volunteering
nfs-ganesha/nfs-ganesha, volunteering
oskariorg/oskari-frontend, volunteering
strategy11/formidable-forms, company
swarren/u-boot, volunteering
logseq/logseq, company
the-events-calendar/event-tickets, company
buke/greenodoo, volunteering
bitrig/bitrig-ports, volunteering
yacy/yacy_search_server, volunteering
apache/hive, volunteering
apache/kafka, volunteering
iotaledger/wasp, company
crdroidandroid/android_kernel_oneplus_sdm845, volunteering
mitk/mitk, volunteering
speechanddebate/tabroom, company
genom-project/android_kernel_xiaomi_ginkgo, volunteering
zotero/zotero, volunteering
mborgerson/xemu, volunteering
zfigura/wine, volunteering
wordpress/gutenberg, company
cvmfs/cvmfs, volunteering
tencent/tendbcluster-tendb, company
xbmc/libandroidjni, volunteering
shortlink-org/shortlink, company
dotclear/dotclear, volunteering
khadas/linux, company
insolar/insolar, company
explosion/spacy, company
wavelog/wavelog, volunteering
typetools/checker-framework, volunteering
metasfresh/metasfresh, company
unistuttgart-visus/megamol, volunteering
jayanta525/rk3308-rock-pi-s, volunteering
python-pillow/pillow, volunteering
galsim-developers/galsim, volunteering
misskey-dev/misskey, volunteering
renovatebot/renovate, company
googleapis/google-cloud-ruby, company
polkadot-js/apps, volunteering
jetbrains/intellij-plugins, company
polardb/polardbx-engine, company
kde/digikam, volunteering
lineageos/android_kernel_lenovo_msm8953, volunteering
flowminder/flowkit, volunteering
expertiza/expertiza, volunteering
zulip/zulip, company
lineageos/android_system_sepolicy, volunteering
osstech-jp/openldap, volunteering
tsuru/tsuru, company
vesoapp/veso, volunteering
ponce/slackbuilds, volunteering
linbit/drbd, company
intel/external-mesa, company
diaspora/diaspora, volunteering
nwjs/v8, volunteering
lineageos/android_kernel_oneplus_msm8996, volunteering
lix-project/lix, volunteering
andrewrk/ffmpeg, volunteering
glotzerlab/hoomd-blue, volunteering
jasonkung0211/launcher3, volunteering
retroshare/retroshare, volunteering
mozilla-bteam/bmo, company
univention/univention-corporate-server, company
finalburnneo/fbneo, volunteering
opennebula/one, company
pymedusa/medusa, volunteering
prowlarr/prowlarr, volunteering
openjdk/tsan, volunteering
jeedom/core, company
kde/kmail, volunteering
lsfusion-solutions/erp, company
ros/rosdistro, volunteering
sarthakroy2002/kernel_realme_rmx2020, volunteering
openstack/requirements, volunteering
gchq/stroom, company
mermaid-js/mermaid, company
jason2866/tasmota-build, volunteering
go-gitea/gitea, company
deliciousmods/1956_beta, volunteering
uportal-project/uportal, volunteering
hardslog/platform_packages_inputmethods_enhancedime, volunteering
eosnetworkfoundation/mandel, company
JoeBidenWhatAreYouHiding/kx, volunteering
concretecms/concretecms, company
intel/luv-yocto, company
scala/scala3, volunteering
facebook/fbthrift, company
pantheon-systems/drops-7, company
tursodatabase/libsql, company
oneapi-src/onednn, company
mrchromebox/coreboot, volunteering
gitlabhq/gitlabhq, company
hypothesisworks/hypothesis, company
arm-software/u-boot, company
slicer/slicergitsvnarchive, volunteering
codecombat/codecombat, company
ONLYOFFICE/DocSpace-client, company
