Day,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Monday,15.151515151515152,23.552123552123554,15.816326530612246,19.318181818181817,18.433179723502306,14.948453608247423,17.167381974248926,16.52249134948097,18.133802816901408,20.92857142857143,14.17142857142857,19.127086007702182,14.827018121911037,18.193069306930692,17.70472895040369,21.292775665399237,18.667642752562223,21.21471343028229,12.979214780600461,20.0
Tuesday,13.804713804713806,19.305019305019304,12.755102040816327,18.181818181818183,17.28110599078341,18.298969072164947,14.506437768240342,17.17128027681661,14.14319248826291,13.142857142857142,13.82857142857143,15.019255455712452,18.616144975288304,13.366336633663368,18.33910034602076,20.595690747782,19.619326500732065,17.365269461077844,21.20092378752887,20.45016077170418
Wednesday,16.4983164983165,15.83011583011583,16.3265306122449,18.560606060606062,14.746543778801843,17.65463917525773,14.07725321888412,16.046712802768166,13.380281690140844,12.071428571428571,12.457142857142857,19.383825417201543,18.451400329489292,16.46039603960396,16.032295271049595,19.96197718631179,19.98535871156662,18.562874251497004,22.170900692840647,22.2508038585209
Thursday,19.52861952861953,11.196911196911197,16.83673469387755,15.151515151515152,14.746543778801843,15.335051546391753,15.1931330472103,11.721453287197232,15.258215962441316,14.357142857142858,14.742857142857144,16.046213093709884,16.80395387149918,18.193069306930692,19.55017301038062,15.52598225602028,16.83748169838946,21.129170230966636,16.951501154734412,15.948553054662378
Friday,14.47811447811448,17.374517374517374,10.204081632653061,15.151515151515152,17.741935483870968,16.49484536082474,16.824034334763947,14.230103806228373,15.434272300469484,11.928571428571429,17.485714285714284,15.789473684210526,13.509060955518946,17.326732673267326,18.685121107266436,14.765525982256019,14.568081991215227,12.403763900769889,16.951501154734412,12.411575562700964
Saturday,9.427609427609427,5.7915057915057915,12.755102040816327,7.196969696969697,6.451612903225806,6.572164948453609,10.042918454935622,12.326989619377162,11.326291079812206,14.92857142857143,17.37142857142857,6.546854942233633,10.70840197693575,9.52970297029703,4.1522491349480966,4.6261089987325725,6.954612005856515,4.619332763045338,4.896073903002309,3.6012861736334405
Sunday,11.11111111111111,6.94980694980695,15.306122448979592,6.4393939393939394,10.599078341013826,10.695876288659793,12.188841201716738,11.980968858131488,12.323943661971832,12.642857142857142,9.942857142857143,8.087291399229782,7.0840197693574956,6.9306930693069315,5.536332179930796,3.2319391634980987,3.3674963396778916,4.704875962360992,4.849884526558892,5.337620578778135
