Day,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Monday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.06779661016949,17.376775271512113
Tuesday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.559322033898304,22.263993316624894
Wednesday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.64406779661017,18.546365914786968
Thursday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.305084745762713,18.9640768588137
Friday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.305084745762713,14.786967418546364
Saturday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.389830508474576,4.553049289891395
Sunday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.728813559322034,3.508771929824561
