+0000,30035194
-0800,8384294
+0100,19032079
-0700,17978731
+0800,7642659
-0500,7052474
+0900,2404234
-0400,8430206
+0200,22804701
+0530,5242996
-0600,2896713
+0300,6685806
+1000,1331358
-0300,2055015
+0700,518875
-0200,287311
+1100,740773
+1200,196582
+1300,216952
-0330,4022
-0230,6602
+0600,123036
+0400,260915
+0500,193884
+0430,30031
-1000,70956
+0330,39036
+0930,56381
+1030,55934
+0630,1023
+0545,17953
-0900,3569
-0430,2369
-1200,3095
-1100,10390
+1400,258
-0100,1135
+0225,1
+0206,260
+0106,32
-0530,53
+0830,79
-0930,53
+0059,488
+0159,355
+0019,3
+0845,6
+1050,102
+0950,36
+0550,208
+0730,6
+1345,8
+0859,4
-0156,1
+0044,2
+1130,1
+2000,5
+0259,13
+0501,3483
